Företagsnamn,Organisationsnummer,Telefonnummer,Adress
"Svensk Ridsport Aktiebolag","556335-2524","0300-725 58","Kungsparksvägen 2, 434 39 Kungsbacka"
"Hogsta Ridsport AB","556791-3107","08-759 04 74","Hogsta 12, 178 93 Drottningholm"
"Tidningsaktiebolaget Ridsport","556943-1041","","Östra Långgatan 81, 619 30 Trosa"
"Djurgårdens Ridsport & Stängsel AB","556182-0084","","Djurgården, 241 93 Eslöv"
"Strömsholms Ridsportbutik AB","559223-6516","","Stallbacken 1, 734 94 Strömsholm"
"Stockholm Ridsport AB","556758-2209","08-10 33 63","Sandavägen 2, 194 63 Upplands Väsby"
"Robert de Rover Ridsport AB","559143-0573","","Hönsholma 126, 284 91 Perstorp"
"Ridsport Tre Hästar AB","559077-6398","","Jordfallsvägen 2, 442 90 Kungälv"
"Örebro Ridsport AB","559117-2407","","Gräve 372, 705 93 Örebro"
"Hvetlanda Ridsport AB","559023-2103","","Upplandavägen 19, 574 33 Vetlanda"
"F-Meko Ridsportgrossisten Aktiebolag","556115-6729","08-645 28 10","Lindberg 38, 432 92 Varberg"
"Gustvall ridsport AB","556910-4226","073-651 80 75","Ritarslingan 18 c, 187 66 Täby"
"Gelas Ridsport AB","556481-4175","","Lundby Öknastugan, 635 18 Husby-Rekarne"
"Mias Ridsport AB","559218-3783","","Adolfsfors Björnes Magasin 1, 673 96 Åmotfors"
"Kristoffersson Ridsport AB","559350-5869","","Breviks Gård 1, 673 97 Åmotfors"
"Hamre Ridsport AB","556519-2548","","Hamre Ridcenter Hamre Gård, 723 48 Västerås"
"CI Ridsport AB","559064-4356","","Ekhagen, 593 38 Västervik"
"Lund Ridsport AB","559518-9365","","Grönland 863, 247 96 Veberöd"
"Svenska Ridsportförbundets Service Aktiebolag","556246-8461","","Herrskogsvägen 2, 734 94 Strömsholm"
"Bratells Ridsport AB","559421-8264","","Båberg 321, 462 93 Vänersborg"
"Fölet Ridsport Aktiebolag","556212-5467","08-500 313 42","Sorundavägen 61, 137 93 Tungelsta"
"Fleninge Ridsport AB","556832-7109","","Gårdsvägen 10, 254 70 Kattarp"
"an ridsport utbildning AB","556949-3850","","Flyinge 471, 247 93 Flyinge"
"Wenehult. Ridsport AB","559195-9886","","Tvärvägen 4, 137 55 Tungelsta"
"Greta & Willies mat och ridsport AB","556846-4282","070-424 22 88","Vindilsgränd 12, 176 67 Järfälla"
"Åby Ridsport i Göteborg AB","556877-5604","","Pusterviksgatan 13, 413 30 Göteborg"
"Gunnarstorp Event & Ridsport AB","559475-1561","","Åby Gunnarstorp 3, 363 34 Tjureda"
"I-Sport Retail AB","556287-7828","023-218 00","Box 114, 431 22 Mölndal"
"CS Ridsportutbildning","890921-XXXXRegistrerad verksamhet","","Källtorpsvägen 16, 724 80 Västerås"
"JÖNKÖPINGS RIDSPORTALLIANS","802511-1157","","Öland 21, 563 93 Gränna"
"BORLÄNGE RIDSPORTKLUBB","882601-2455","0243-23 60 94","Sveden 31, 781 92 Borlänge"
"STUVERUMS RIDSPORTKLUBB","802494-2818","","c/o ANDERS NILSSON, Stuverums Gård 1, 593 92 Västervik"
"ÖSTERGÖTLANDS RIDSPORTSFÖRBUND","822002-7711","010-476 50 80","Fastes Gata 4, 582 78 Linköping"
"FOLKATORPS RIDSPORTSÄLLSKAP","802461-7055","","Folkatorp Hagaro 312, 692 91 Kumla"
"PD Ridsport","630311-XXXXRegistrerad verksamhet","","Gransta Pl 1560 b, 150 23 Enhörna"
"MALMÖ RIDSPORT","550602-XXXXRegistrerad verksamhet","","c/o Ringdahl, Kungstorpsv 2, 236 32 Höllviken"
"Älgvikens Ridsport","520313-XXXXRegistrerad verksamhet","","Älgviken, 149 91 Nynäshamn"
"Slåttlandets Ridsport","760918-XXXXRegistrerad verksamhet","","Åsen 851, 816 92 Lingbo"
"SVENSKA RIDSPORTFÖRBUNDET","802002-8042","","Herrskogsvägen 2, 734 94 Strömsholm"
"MITTSVENSKA RIDSPORTFÖRBUNDET","892000-9449","070-556 29 19","Terminalvägen 30, 861 36 Timrå"
"KB ridsport","820102-XXXXRegistrerad verksamhet","","Torsgatan 3b, 411 04 Göteborg"
"Dala Ridsport","560125-XXXXRegistrerad verksamhet","","Saxdalen 2036, 772 00 Grängesberg"
"Kulla Ridsport","680113-XXXXRegistrerad verksamhet","","Kulla, Löväng, 516 95 Målsryd"
"Kiruna Ridsport","640717-XXXXRegistrerad verksamhet","","c/o Kärstin Gustafsson, Ryttarvägen 5, 981 91 Jukkasjärvi"
"Örebro Ridsport","730915-XXXXRegistrerad verksamhet","","Gräve 372, 705 93 Örebro"
"Bredabäcks Ridsport","610407-XXXXRegistrerad verksamhet","","Bredabäck, Postlåda 714, 370 30 Rödeby"
"Ränneslövs Ridsport","850402-XXXXRegistrerad verksamhet","","Per-Mikaelsgård, 312 95 Laholm"
"Bernehjält Ridsport","740604-XXXXRegistrerad verksamhet","","Kvartsvägen 5, 619 34 Trosa"
"Abrahamsbergs Ridsport","480519-XXXXRegistrerad verksamhet","","Flygarevägen 173, 175 69 Järfälla"
"WIAD RIDSPORTFÖRENING","802446-1264","","c/o CARINA ÖFORS, Varvsgatan 10 a Lgh 1401, 117 29 Stockholm"
"BERGSVIKS RIDSPORTFÖRENING","802448-2922","","c/o SOFIA BUCHBORN, Bergsvik Pl 281, 760 21 Vätö"
"BOMMEDALS RIDSPORTFÖRENING","802520-0406","","c/o EKBLAD, Drothems Prästgård 2, 614 92 Söderköping"
"STRÖMSHOLMS RIDSPORTFÖRENING","878000-1957","0220-431 15","c/o KNYTPUNKTEN, Stallbacken 6, 734 94 Strömsholm"
"STAFFANSTORPS RIDSPORTFÖRENING","845000-5437","","Travvägen 9, 245 38 Staffanstorp"
"SKÅNES RIDSPORTFÖRBUND","846004-3469","046-529 10","Flyinge Kungsgård 1802, 247 93 Flyinge"
"UPPLANDS RIDSPORTFÖRBUND","817301-1571","018-27 70 16","Möllersvärdsgatan 12, 754 50 Uppsala"
"HALLANDS RIDSPORTFÖRBUND","849202-0550","","Ridhusvägen 2, 311 41 Falkenberg"
"GÄVLEBORGS RIDSPORTFÖRBUND","886500-5881","073-814 05 15","Nobelvägen 2 Rken Teknikpa, 802 67 Gävle"
"NORRBOTTENS RIDSPORTFÖRBUND","897001-0032","0920-43 42 14","Maskinvägen 27, 972 54 Luleå"
